2026-08-28 17:22:41 | INFO | amazon_scrapper | [1:2] HTTP 200 https://www.amazon.com/Wireless-Earbuds-Bluetooth-Headphones-Earhooks/dp/B0G7H6K1WN/ref=sr_1_2?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-2
2026-08-28 17:22:41 | INFO | amazon_scrapper | [1:2] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_002.html
2026-08-28 17:22:41 | INFO | amazon_scrapper | [1:5] HTTP 200 https://www.amazon.com/HAOYUYAN-Bluetooth-Headphones-Waterproof-Running%EF%BC%88Rose/dp/B0H5W2YR99/ref=sr_1_5?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-5
2026-08-28 17:22:41 | INFO | amazon_scrapper | [1:5] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_005.html
2026-08-28 17:22:41 | INFO | amazon_scrapper | [1:1] HTTP 200 https://www.amazon.com/Fhumsh-Bluetooth-Headphones-Canceling-Waterproof/dp/B0HBWW3958/ref=sr_1_1?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-1
2026-08-28 17:22:41 | INFO | amazon_scrapper | [1:1] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_001.html
2026-08-28 17:22:41 | INFO | amazon_scrapper | [1:4] HTTP 200 https://www.amazon.com/Wireless-Earbuds-Touchscreen-Headphones-Bluetooth/dp/B0HBVXBZPZ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-4
2026-08-28 17:22:41 | INFO | amazon_scrapper | [1:4] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_004.html
2026-08-28 17:22:41 | INFO | amazon_scrapper | [1:3] HTTP 200 https://www.amazon.com/Wireless-Earbuds-Bluetooth-Headphones-Crystal/dp/B0HBW8PTYN/ref=sr_1_3?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-3
2026-08-28 17:22:42 | INFO | amazon_scrapper | [1:3] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_003.html
2026-08-28 17:22:43 | INFO | amazon_scrapper | [1:7] HTTP 200 https://www.amazon.com/Bluetooth-Headphones-Cancelling-Waterproof-Earphones/dp/B0H8Y9LL1G/ref=sr_1_7?dib=eyJ2IjoiMSJ9.cHcgliAzcUuJZVVrUBrTMStX2abZeLX8EZ0edgi2DEZbMYT4ZwUqHKs4TB2l6K5y9zzqkRxomM4dC8rAd4yqe_7Dxy0Jl-PxpYqEGj_R3ykaRgjwOq64r_9Ju4V62q15d9hGomNSL4lAF6zArlxks_42uedPs1PAc123J7M2Xsk7-GOzNYyGlolw6HF0-0XzR15fgXZDFNYLd8D_lhapHWLCcGsSSi7vWbXoMvNjnqI.MDQvF_2dtwi838VSt6gBulSTDWhCZJxnBLUbajbFVcs&dib_tag=se&keywords=wireless+earbuds&qid=1787915985&sr=8-7
2026-08-28 17:22:44 | INFO | amazon_scrapper | [1:7] Saved D:\Amazon Scrapper\AmazonScrapper\data\products\keyword_01_product_007.html
